pair_address,token_address,estrato,sync_count,mint_count,burn_count,transfer_count,token0_decimals,token1_decimals,first_block,last_block,lifespan_blocks,active_days,last_event_type,terminal_burn_flag,transfers_count,unique_senders,unique_recipients,total_value,top3_n,concentration_top3,burn_ratio
0x5bb7daf7730bec347c8377e6d87850cb3f836213,0x8ee2e854c7d2561d01db2dea06f0d68ed89ed9e6,alto,851,133,74,905,18,18,11108776.0,13074713.0,1965937.0,303.5199074074074,sync,0.0,3599.0,132.0,158.0,1.9521387276643577e+23,2240.0,0.6223951097527091,0.5522388059701493
0xe94272661fd46362e5dd247221e0fc018a298d09,0x9040e237c3bf18347bb00957dc22167d0f2b999d,alto,7615,154,66,498,18,18,12335724.0,13220315.0,884591.0,137.39481481481482,sync,0.0,14290.0,2940.0,3497.0,3.0498900073437943e+26,5065.0,0.35444366689993,0.4258064516129032
0xb2b50df8f1ef5a9b1e5dd4c9dc3966b41314e2a4,0xdfb94eab1465618ab2676be2ac4d87051446a236,alto,128,10,3,17,18,18,12352718.0,12787168.0,434450.0,67.39586805555555,sync,0.0,133.0,28.0,46.0,5.992513432079508e+22,71.0,0.5338345864661654,0.2727272727272727
0xf49c43ae0faf37217bdcb00df478cf793edd6687,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,alto,63569,1105,885,3617,18,18,10091947.0,13218733.0,3126786.0,482.90119212962964,sync,0.0,720154.0,204764.0,213202.0,4.34737072535228e+27,80991.0,0.11246344531864018,0.8001808318264014
0x605363e9520bb2da13a6c0fb2997d61ed397091e,0xc2dbd43045a4bfc21dde0a7a52b02bcebd08b9cc,alto,114,1,0,4,18,18,12953770.0,13101466.0,147696.0,22.84290509259259,sync,0.0,130.0,10.0,93.0,1.0000000019919039e+50,29.0,0.2230769230769231,0.0
0xae63afc7ba4f5aa7ebd0af4ec32ab8d9ff570776,0xda6f3e151596cdc0c504e14932496ab8b2050895,alto,182,1,0,4,18,18,12915755.0,13214148.0,298393.0,46.2759375,sync,0.0,196.0,55.0,86.0,6.387826884154791e+33,74.0,0.37755102040816324,0.0
0x9a6ef76504b719bc11b29ef1b9f0e82f64582f76,0x398dc1c12a268b657abd0cd88999156228acb91a,alto,2191,1,1,6,18,18,12993738.0,13219197.0,225459.0,34.85380787037037,sync,0.0,1816.0,190.0,497.0,3.426035907076255e+26,908.0,0.5,0.5
0x41373f1d2fca31c8d873d1353b2a0233c284a7d6,0x779508466c23622ea40b07b32596adb025c84dfc,alto,158,1,0,2,18,18,12412321.0,13053341.0,641020.0,99.77024305555555,sync,0.0,139.0,36.0,59.0,3.538823681703787e+33,70.0,0.5035971223021583,0.0
0x65119d7865735543c34503de9019299a57a2a42f,0xa4bdb11dc0a2bec88d24a3aa1e6bb17201112ebe,alto,439,7,3,14,6,18,10923293.0,13193052.0,2269759.0,350.54175925925927,sync,0.0,2495.0,456.0,559.0,26500439359600.0,665.0,0.2665330661322645,0.375
0x2bf2f88a914adc1314aaa3a1800b33f6cea825d2,0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06,alto,239,10,2,15,8,18,11351795.0,13220060.0,1868265.0,288.6956828703704,sync,0.0,2098.0,822.0,942.0,1.3183328916849752e+16,467.0,0.22259294566253573,0.18181818181818182
0xcc83b6cb25ad148c5d188053458cdc565f0d6444,0x715ce123449786ac44f994ef7a37177c70498f31,alto,291,1,4,10,18,18,11125786.0,11130874.0,5088.0,0.792962962962963,burn,1.0,296.0,4.0,110.0,1.7294758447725524e+25,186.0,0.6283783783783784,2.0
0x20dcb3d39fac7fa186232000cedf036c15a67563,0x89184d8d21e3e2f2c2f8ace2d02c32c25618d4f2,alto,286,1,0,3,18,18,12750125.0,12769655.0,19530.0,3.0328935185185184,sync,0.0,290.0,56.0,78.0,4.915329941609337e+21,184.0,0.6344827586206897,0.0
0xec9eb7af42207a8da12a04ee4b2f2b4b9cb43bd5,0x19042021329fddcfbea5f934fb5b2670c91f7d20,alto,127,6,1,9,18,18,,,,,,,254.0,7.0,194.0,838505000000.0,13.0,0.051181102362204724,0.14285714285714285
0x22d3c7732f386ce7aff3876b164c0cd441095e30,0x640a8c704e0e05bf6d884fa1e39872fb80a10af0,alto,1938,11,6,25,18,18,12734489.0,13144170.0,409681.0,63.79824074074074,sync,0.0,2073.0,329.0,682.0,3.9542535360309165e+24,644.0,0.3106608779546551,0.5
0x6e240cc956dc5d62b2040eee987af53955c594e7,0x92b92f9454bccd62c729d967cac74f54e62d6323,alto,278,1,1,4,18,18,12442459.0,12931693.0,489234.0,76.21980324074075,sync,0.0,284.0,66.0,140.0,5.771569184677081e+21,95.0,0.3345070422535211,0.5
0x49625fdf6ab527b357a98832a6a3deb550b756cb,0x998b3b82bc9dba173990be7afb772788b5acb8bd,alto,641,9,3,16,18,18,11043781.0,13171038.0,2127257.0,328.35931712962963,sync,0.0,3496.0,1013.0,1559.0,2.65885620085742e+28,736.0,0.21052631578947367,0.3
0x63ec6726d5e4615cfcc75988959c36798177fe60,0xa9fbb83a2689f4ff86339a4b96874d718673b627,alto,620,20,6,33,18,18,10097225.0,13210773.0,3113548.0,480.83342592592595,sync,0.0,1723.0,249.0,518.0,1.5150451993590408e+31,475.0,0.2756819500870575,0.2857142857142857
0x49a8923c1ca476a9abecec36ef2cb44f50301640,0xe59064a8185ed1fca1d17999621efedfab4425c9,alto,575,11,8,29,18,18,11270700.0,13139682.0,1868982.0,288.7022337962963,sync,0.0,3872.0,429.0,891.0,2.0181027969361698e+26,1308.0,0.3378099173553719,0.6666666666666666
